コード,銘柄名,カテゴリ,取得時刻,PER,PBR,利回り,始値,高値,安値,終値,出来高,売買代金,VWAP,約定回数,売買最低代金,単元株数,時価総額,売り残(06/26),買り残(06/26),信用倍率(06/26)
7261,マツダ,東証１,15:00,－倍,0.35倍,－％,663,668,642,659,"5,199,300 株","3,406 百万円",655.122 円,"3,086 回","65,900 円",100 株,"4,164億円","1,954.3","4,866.4",2.49
7267,ホンダ,東証１,15:00,－倍,0.60倍,－％,"2,799.5","2,809.0","2,733.5","2,769.0","3,425,300 株","9,481 百万円","2,767.955 円","7,654 回","276,900 円",100 株,5兆158億円,994.5,835.4,0.84
7269,スズキ,東証１,15:00,－倍,1.17倍,－％,"3,604.0","3,612.0","3,523.0","3,587.0","1,154,100 株","4,116 百万円","3,566.377 円","3,643 回","358,700 円",100 株,"1兆7,615億円",589.7,437.4,0.74
7270,ＳＵＢＡＲＵ,東証１,15:00,－倍,1.01倍,－％,"2,302.0","2,307.5","2,229.5","2,260.0","2,008,400 株","4,537 百万円","2,259.229 円","5,453 回","226,000 円",100 株,"1兆7,383億円",593.1,"1,189.0",2.00
7272,ヤマハ発動機,東証１,15:00,－倍,0.87倍,－％,"1,649","1,659","1,606","1,633","1,884,200 株","3,064 百万円","1,626.112 円","3,509 回","163,300 円",100 株,"5,718億円",779.2,831.5,1.07
4543,テルモ,東証１,15:00,－倍,4.09倍,0.68％,"4,130","4,133","4,081","4,108","909,600 株","3,739 百万円","4,110.622 円","2,344 回","410,800 円",100 株,"3兆1,201億円",191.6,462.3,2.41
4902,コニカミノルタ,東証１,15:00,－倍,0.35倍,－％,372,375,364,368,"5,849,600 株","2,154 百万円",368.179 円,"2,143 回","36,800 円",100 株,"1,850億円",451.1,"7,816.4",17.33
7731,ニコン,東証１,15:00,－倍,0.60倍,－％,892,898,872,880,"1,287,500 株","1,132 百万円",879.494 円,"1,460 回","88,000 円",100 株,"3,329億円","1,631.0","1,824.8",1.12
7733,オリンパス,東証１,15:00,－倍,6.96倍,－％,"2,003.0","2,017.0","1,984.5","2,006.5","2,675,300 株","5,357 百万円","2,002.291 円","6,569 回","200,650 円",100 株,"2兆7,507億円",840.3,711.4,0.85
7762,シチズン時計,東証１,15:00,－倍,0.48倍,－％,342,348,336,340,"1,150,500 株",391 百万円,339.914 円,878 回,"34,000 円",100 株,"1,069億円",454.9,"1,085.3",2.39
9412,スカパーＪ,東証１,15:00,15.2倍,0.53倍,4.40％,424,424,409,409,"676,400 株",280 百万円,414.017 円,798 回,"40,900 円",100 株,"1,215億円",74.9,267.7,3.57
9432,日本電信電話,東証１,15:00,－倍,1.02倍,4.04％,"2,481.0","2,488.5","2,469.5","2,477.5","2,723,400 株","6,747 百万円","2,477.531 円","3,849 回","247,750 円",100 株,"9兆6,642億円",767.5,"1,434.8",1.87
9433,ＫＤＤＩ,東証１,15:00,11.5倍,1.67倍,3.76％,"3,193.0","3,201.0","3,175.0","3,192.0","1,762,500 株","5,617 百万円","3,186.836 円","2,587 回","319,200 円",100 株,"7兆3,549億円",405.3,390.4,0.96
9437,ＮＴＴドコモ,東証１,15:00,－倍,1.78倍,4.15％,"2,888.0","2,891.5","2,864.0","2,889.5","2,398,200 株","6,908 百万円","2,880.414 円","3,762 回","288,950 円",100 株,"9兆3,291億円",599.8,"3,176.1",5.30
9613,ＮＴＴデータ,東証１,15:00,－倍,1.74倍,1.54％,"1,179","1,188","1,158","1,169","2,390,800 株","2,801 百万円","1,171.498 円","2,904 回","116,900 円",100 株,"1兆6,395億円",336.2,"1,345.3",4.00
9984,ソフトバンクグループ,東証１,15:00,－倍,1.92倍,－％,"5,697","5,778","5,675","5,778","23,892,400 株","137,038 百万円","5,735.621 円","26,511 回","577,800 円",100 株,12兆749億円,"10,433.3","7,301.2",0.70
7186,コンコルディ,東証１,15:00,10.5倍,0.38倍,4.87％,343,350,340,349,"7,109,800 株","2,453 百万円",345.06 円,"1,714 回","34,900 円",100 株,"4,222億円","1,328.3",662.5,0.50
8303,新生銀行,東証１,15:00,－倍,0.32倍,－％,"1,269","1,278","1,242","1,261","868,300 株","1,093 百万円","1,258.372 円","1,806 回","126,100 円",100 株,"3,266億円",215.1,351.5,1.63
8304,あおぞら銀行,東証１,15:00,7.6倍,0.51倍,6.59％,"1,862","1,888","1,835","1,850","879,200 株","1,630 百万円","1,853.629 円","1,980 回","185,000 円",100 株,"2,188億円",797.8,"1,565.7",1.96
8306,三菱ＵＦＪ,東証１,15:00,－倍,0.34倍,5.92％,423.0,425.2,417.8,422.0,"42,247,500 株","17,772 百万円",420.654 円,"10,878 回","42,200 円",100 株,"5兆7,316億円","17,293.0","49,043.3",2.84
8308,りそなホールディングス,東証１,15:00,7.1倍,0.41倍,5.68％,370.1,372.8,364.8,370.0,"4,588,200 株","1,693 百万円",368.912 円,"4,400 回","37,000 円",100 株,"8,519億円","1,393.9","6,444.3",4.62
8309,三井住友トラ,東証１,15:00,8.0倍,0.44倍,4.99％,"3,021.0","3,045.0","2,980.5","3,009.0","863,200 株","2,594 百万円","3,004.78 円","2,828 回","300,900 円",100 株,"1兆1,293億円",207.6,329.9,1.59
8316,三井住友ＦＧ,東証１,15:00,10.5倍,0.39倍,6.20％,"3,073.0","3,088.0","3,033.0","3,064.0","3,827,100 株","11,710 百万円","3,059.718 円","4,569 回","306,400 円",100 株,"4兆2,074億円","2,174.8","5,656.4",2.60
8331,千葉銀行,東証１,15:00,7.9倍,0.41倍,3.51％,513,518,506,513,"1,215,100 株",621 百万円,511.127 円,"1,074 回","51,300 円",100 株,"4,184億円",793.5,489.0,0.62
8354,ふくおかＦＧ,東証１,15:00,8.0倍,0.38倍,5.02％,"1,695","1,710","1,667","1,692","408,700 株",688 百万円,"1,682.959 円","1,161 回","169,200 円",100 株,"3,234億円",260.1,105.0,0.40
8355,静岡銀行,東証１,15:00,9.5倍,0.40倍,3.17％,690,697,686,694,"884,700 株",611 百万円,691.101 円,809 回,"69,400 円",100 株,"4,130億円",691.6,226.1,0.33
8411,みずほＦＧ,東証１,15:00,10.5倍,0.39倍,5.63％,133.4,134.4,131.8,133.1,"66,477,000 株","8,834 百万円",132.883 円,"5,240 回","13,310 円",100 株,"3兆3,797億円","40,261.7","86,953.3",2.16
8253,クレディセゾン,東証１,15:00,－倍,0.37倍,3.91％,"1,218","1,224","1,143","1,152","1,281,300 株","1,492 百万円","1,164.285 円","2,780 回","115,200 円",100 株,"2,136億円",97.9,381.5,3.90
8601,大和証券グループ本社,東証１,15:00,－倍,0.58倍,－％,464.7,464.7,455.3,458.1,"3,545,800 株","1,626 百万円",458.639 円,"4,991 回","45,810 円",100 株,"7,785億円","1,601.2","2,524.5",1.58
8604,野村ホールディングス,東証１,15:00,－倍,0.55倍,－％,485.0,487.3,477.0,480.6,"8,848,300 株","4,257 百万円",481.094 円,"8,592 回","48,060 円",100 株,"1兆6,790億円","6,268.3","10,406.4",1.66
8628,松井証券,東証１,15:00,－倍,2.67倍,－％,822,832,819,832,"485,200 株",401 百万円,826.234 円,713 回,"83,200 円",100 株,"2,157億円","2,005.9",410.0,0.20
8630,ＳＯＭＰＯ,東証１,15:00,8.9倍,0.84倍,4.35％,"3,695.0","3,743.0","3,643.0","3,681.0","803,100 株","2,957 百万円","3,681.788 円","2,325 回","368,100 円",100 株,"1兆3,742億円",103.6,128.5,1.24
8725,ＭＳ＆ＡＤ,東証１,15:00,12.8倍,0.68倍,5.09％,"2,979.0","2,996.5","2,922.0","2,949.0","750,600 株","2,214 百万円","2,949.08 円","2,461 回","294,900 円",100 株,"1兆7,496億円",523.7,118.8,0.23
8729,ソニーＦＨ,東証１,15:00,－倍,1.64倍,－％,"2,596","2,597","2,594","2,594","1,057,700 株","2,745 百万円","2,594.984 円",551 回,"259,400 円",100 株,"1兆1,286億円",40.9,181.0,4.43
8750,第一生命ＨＤ,東証１,15:00,－倍,0.40倍,4.63％,"1,350.5","1,353.0","1,323.0","1,340.0","3,169,900 株","4,237 百万円","1,336.604 円","4,893 回","134,000 円",100 株,"1兆6,059億円",605.0,"7,850.2",12.98
8766,東京海上,東証１,15:00,－倍,0.98倍,4.24％,"4,714","4,740","4,670","4,717","1,410,200 株","6,633 百万円","4,703.295 円","3,846 回","471,700 円",100 株,"3兆3,113億円",206.4,"1,015.0",4.92
8795,Ｔ＆Ｄホールディングス,東証１,15:00,4.5倍,0.50倍,4.73％,951,952,919,931,"2,221,000 株","2,067 百万円",930.693 円,"2,835 回","93,100 円",100 株,"5,893億円",166.3,723.6,4.35
1332,日本水産,東証１,15:00,9.6倍,0.94倍,1.84％,468,470,458,463,"1,799,600 株",831 百万円,461.994 円,"1,320 回","46,300 円",100 株,"1,447億円",250.9,"2,021.8",8.06
1333,マルハニチロ,東証１,15:00,－倍,0.85倍,1.88％,"2,168","2,169","2,119","2,132","196,200 株",419 百万円,"2,136.36 円",881 回,"213,200 円",100 株,"1,123億円",59.4,166.3,2.80
2002,日清製粉グループ本社,東証１,15:00,27.6倍,1.19倍,2.21％,"1,580","1,592","1,564","1,581","408,400 株",644 百万円,"1,577.093 円","1,085 回","158,100 円",100 株,"4,812億円",49.0,278.4,5.68
2269,明治ホールディングス,東証１,15:00,17.9倍,2.21倍,1.75％,"8,550","8,600","8,500","8,560","307,600 株","2,632 百万円","8,556.203 円",711 回,"856,000 円",100 株,"1兆3,070億円",96.9,79.7,0.82
2282,日本ハム,東証１,15:00,22.1倍,1.09倍,2.12％,"4,315","4,330","4,255","4,290","271,900 株","1,165 百万円","4,286.44 円",929 回,"429,000 円",100 株,"4,417億円",101.8,60.2,0.59
2501,サッポロＨＤ,東証１,15:00,－倍,1.01倍,2.14％,"2,009","2,024","1,952","1,965","285,200 株",563 百万円,"1,973.142 円",918 回,"196,500 円",100 株,"1,548億円",95.0,127.1,1.34
2502,アサヒ,東証１,15:00,－倍,1.67倍,2.88％,"3,745.0","3,760.0","3,647.0","3,676.0","654,800 株","2,413 百万円","3,685.214 円","2,208 回","367,600 円",100 株,"1兆7,777億円",153.6,347.6,2.26
