コード,銘柄名,カテゴリ,取得時刻,PER,PBR,利回り,始値,高値,安値,終値,出来高,売買代金,VWAP,約定回数,売買最低代金,単元株数,時価総額,売り残(06/26),買り残(06/26),信用倍率(06/26)
4452,花王,東証１,15:00,26.5倍,4.96倍,1.62％,"8,617","8,668","8,589","8,668","652,700 株","5,638 百万円","8,637.628 円","2,469 回","866,800 円",100 株,"4兆1,780億円",242.2,456.4,1.88
4631,ＤＩＣ,東証１,15:00,10.9倍,0.85倍,4.08％,"2,737","2,742","2,697","2,699","242,400 株",657 百万円,"2,710.829 円",992 回,"269,900 円",100 株,"2,568億円",130.3,89.4,0.69
4901,富士フイルム,東証１,15:00,－倍,0.95倍,－％,"4,632","4,664","4,605","4,636","1,218,300 株","5,638 百万円","4,627.605 円","3,416 回","463,600 円",100 株,"2兆3,858億円",253.3,"6,434.9",25.40
4911,資生堂,東証１,15:00,－倍,5.60倍,－％,"6,793","6,836","6,674","6,760","1,490,600 株","10,071 百万円","6,756.493 円","4,720 回","676,000 円",100 株,"2兆7,040億円","1,197.7",543.2,0.45
6988,日東電工,東証１,15:00,－倍,1.31倍,－％,"6,030","6,040","5,950","6,000","589,500 株","3,539 百万円","6,004.044 円","1,186 回","600,000 円",100 株,"9,526億円",167.7,196.7,1.17
5019,出光興産,東証１,15:00,136倍,0.60倍,－％,"2,312","2,326","2,280","2,304","938,800 株","2,158 百万円","2,298.276 円","2,378 回","230,400 円",100 株,"6,863億円",248.0,"1,337.7",5.39
5020,ＥＮＥＯＳ,東証１,15:00,31.0倍,0.54倍,5.70％,389.6,390.5,382.4,385.9,"9,761,800 株","3,767 百万円",385.922 円,"6,021 回","38,590 円",100 株,"1兆2,466億円","1,255.7","9,208.9",7.33
5101,横浜ゴム,東証１,15:00,－倍,0.62倍,－％,"1,512","1,512","1,451","1,467","376,000 株",553 百万円,"1,471.402 円","1,285 回","146,700 円",100 株,"2,487億円",131.8,117.4,0.89
5108,ブリヂストン,東証１,15:00,－倍,1.09倍,4.67％,"3,455.0","3,458.0","3,391.0","3,427.0","1,428,300 株","4,882 百万円","3,418.234 円","3,353 回","342,700 円",100 株,"2兆4,458億円","1,159.0","1,096.5",0.95
5201,ＡＧＣ,東証１,15:00,－倍,0.62倍,－％,"3,045","3,060","2,989","3,020","715,800 株","2,160 百万円","3,017.941 円","1,262 回","302,000 円",100 株,"6,869億円",269.1,792.7,2.95
5202,日本板硝子,東証１,15:00,－倍,0.79倍,－％,376,380,365,372,"1,175,500 株",436 百万円,371.187 円,"1,318 回","37,200 円",100 株,337億円,"1,331.0","3,075.9",2.31
5214,日本電気硝子,東証１,15:00,14.6倍,0.35倍,6.01％,"1,676","1,692","1,645","1,665","529,800 株",882 百万円,"1,664.637 円","1,623 回","166,500 円",100 株,"1,657億円",573.1,637.2,1.11
5232,住友大阪セメント,東証１,15:00,－倍,0.73倍,－％,"3,775","3,775","3,670","3,705","133,200 株",493 百万円,"3,700.691 円",415 回,"370,500 円",100 株,"1,506億円",71.0,42.7,0.60
5233,太平洋セメント,東証１,15:00,9.2倍,0.67倍,2.46％,"2,450","2,479","2,402","2,439","528,900 株","1,289 百万円","2,436.656 円","2,284 回","243,900 円",100 株,"3,101億円",95.8,427.3,4.46
5301,東海カーボン,東証１,15:00,12.7倍,1.06倍,4.84％,"1,008","1,009",982,992,"1,136,000 株","1,126 百万円",991.455 円,"1,791 回","99,200 円",100 株,"2,231億円","4,077.0","2,589.2",0.64
5332,ＴＯＴＯ,東証１,15:00,－倍,2.06倍,－％,"4,070","4,095","4,035","4,075","394,500 株","1,603 百万円","4,063.831 円",990 回,"407,500 円",100 株,"7,212億円",98.3,136.0,1.38
5333,日本ガイシ,東証１,15:00,26.6倍,0.99倍,2.10％,"1,441","1,452","1,400","1,430","1,413,100 株","2,013 百万円","1,424.845 円","3,120 回","143,000 円",100 株,"4,608億円",197.1,412.2,2.09
5401,日本製鉄,東証１,15:00,－倍,0.35倍,－％,"1,003.0","1,016.0",977.2,996.6,"3,170,100 株","3,150 百万円",993.694 円,"7,543 回","99,660 円",100 株,"9,471億円","2,025.9","4,595.1",2.27
5406,神戸製鋼所,東証１,15:00,－倍,0.20倍,－％,367,371,354,361,"3,602,900 株","1,301 百万円",360.985 円,"1,582 回","36,100 円",100 株,"1,315億円","3,258.5","11,055.5",3.39
5411,ＪＦＥ,東証１,15:00,－倍,0.27倍,－％,779,784,755,772,"3,651,800 株","2,807 百万円",768.775 円,"3,288 回","77,200 円",100 株,"4,743億円",767.0,"4,710.6",6.14
5541,大平洋金属,東証１,15:00,－倍,0.46倍,－％,"1,478","1,493","1,453","1,490","216,500 株",320 百万円,"1,477.939 円",590 回,"149,000 円",100 株,292億円,85.4,"1,200.4",14.06
3436,ＳＵＭＣＯ,東証１,15:00,－倍,1.52倍,－％,"1,581","1,595","1,571","1,590","4,531,100 株","7,181 百万円","1,584.849 円","5,310 回","159,000 円",100 株,"4,630億円","1,679.9","5,777.5",3.44
5703,日軽金ＨＤ,東証１,15:00,－倍,0.60倍,－％,181,183,176,180,"1,391,700 株",250 百万円,179.739 円,356 回,"18,000 円",100 株,"1,116億円","1,252.2","1,910.6",1.53
5706,三井金属,東証１,15:00,20.7倍,0.75倍,－％,"2,175","2,197","2,149","2,177","428,300 株",930 百万円,"2,170.767 円","1,508 回","217,700 円",100 株,"1,247億円",117.0,393.2,3.36
5707,東邦亜鉛,東証１,15:00,6.1倍,0.55倍,－％,"1,487","1,487","1,445","1,475","115,000 株",168 百万円,"1,464.944 円",462 回,"147,500 円",100 株,200億円,79.6,209.5,2.63
5711,三菱マテリアル,東証１,15:00,－倍,0.57倍,－％,"2,246","2,264","2,175","2,203","515,000 株","1,135 百万円","2,203.185 円","1,788 回","220,300 円",100 株,"2,897億円",189.6,218.6,1.15
5713,住友金属鉱山,東証１,15:00,－倍,0.84倍,－％,"3,045.0","3,055.0","3,011.0","3,055.0","720,200 株","2,191 百万円","3,041.626 円","1,820 回","305,500 円",100 株,"8,884億円",488.9,"1,179.6",2.41
5714,ＤＯＷＡ,東証１,15:00,－倍,0.77倍,－％,"3,240","3,260","3,205","3,240","157,300 株",508 百万円,"3,231.039 円",556 回,"324,000 円",100 株,"2,008億円",53.3,98.6,1.85
5801,古河電気工業,東証１,15:00,－倍,0.77倍,－％,"2,637","2,661","2,589","2,626","237,600 株",622 百万円,"2,616.489 円","1,010 回","262,600 円",100 株,"1,856億円",285.7,353.5,1.24
5802,住友電気工業,東証１,15:00,－倍,0.63倍,－％,"1,244.0","1,246.5","1,214.5","1,229.5","1,369,000 株","1,681 百万円","1,227.609 円","3,018 回","122,950 円",100 株,"9,762億円",143.9,543.9,3.78
5803,フジクラ,東証１,15:00,－倍,0.58倍,－％,320,323,315,318,"2,004,600 株",637 百万円,317.861 円,973 回,"31,800 円",100 株,941億円,"1,217.6","2,140.1",1.76
5901,洋缶ＨＤ,東証１,15:00,12.3倍,0.37倍,1.19％,"1,212","1,214","1,163","1,178","507,500 株",601 百万円,"1,183.521 円","1,331 回","117,800 円",100 株,"2,390億円",48.3,474.1,9.82
2768,双日,東証１,15:00,7.0倍,0.48倍,－％,237,238,231,233,"3,726,100 株",871 百万円,233.779 円,985 回,"23,300 円",100 株,"2,916億円","2,834.6","12,840.9",4.53
8001,伊藤忠商事,東証１,15:00,8.6倍,1.15倍,3.80％,"2,330.5","2,332.5","2,296.0","2,316.0","1,864,200 株","4,311 百万円","2,312.312 円","3,084 回","231,600 円",100 株,"3兆6,706億円","3,225.9","1,106.6",0.34
8002,丸紅,東証１,15:00,8.4倍,0.55倍,3.11％,489.0,490.5,477.0,481.7,"4,326,200 株","2,086 百万円",482.074 円,"4,740 回","48,170 円",100 株,"8,372億円","1,412.4","8,955.9",6.34
8015,豊田通商,東証１,15:00,11.9倍,0.80倍,4.05％,"2,768","2,772","2,681","2,715","323,700 株",878 百万円,"2,712.319 円","1,123 回","271,500 円",100 株,"9,613億円",211.5,318.3,1.50
8031,三井物産,東証１,15:00,14.7倍,0.69倍,5.10％,"1,588.5","1,595.0","1,563.5","1,569.0","2,706,300 株","4,258 百万円","1,573.296 円","4,097 回","156,900 円",100 株,"2兆6,935億円","1,167.7","1,761.6",1.51
8053,住友商事,東証１,15:00,－倍,0.61倍,5.66％,"1,257.5","1,257.5","1,227.5","1,237.0","1,956,700 株","2,423 百万円","1,238.198 円","3,290 回","123,700 円",100 株,"1兆5,475億円",673.6,"2,206.5",3.28
8058,三菱商事,東証１,15:00,－倍,0.64倍,5.94％,"2,280.0","2,283.5","2,243.0","2,256.0","2,600,500 株","5,873 百万円","2,258.428 円","4,633 回","225,600 円",100 株,"3兆3,518億円",757.5,"3,795.7",5.01
1721,コムシスＨＤ,東証１,15:00,15.7倍,1.31倍,2.53％,"3,140","3,175","3,140","3,165","230,400 株",727 百万円,"3,155.245 円",657 回,"316,500 円",100 株,"4,463億円",85.3,78.2,0.92
1801,大成建設,東証１,15:00,14.4倍,1.08倍,3.39％,"3,870","3,890","3,795","3,835","548,600 株","2,103 百万円","3,834.019 円","1,057 回","383,500 円",100 株,"8,611億円",252.5,304.5,1.21
1802,大林組,東証１,15:00,－倍,0.87倍,－％,"1,001","1,004",981,987,"1,200,900 株","1,188 百万円",989.098 円,"1,410 回","98,700 円",100 株,"7,121億円",379.9,778.3,2.05
1803,清水建設,東証１,15:00,－倍,0.90倍,－％,870,873,854,860,"1,118,800 株",964 百万円,861.211 円,"1,153 回","86,000 円",100 株,"6,781億円",992.5,"1,239.0",1.25
1808,長谷工コーポレーション,東証１,15:00,7.9倍,1.00倍,5.22％,"1,361","1,364","1,331","1,340","649,300 株",871 百万円,"1,341.919 円","1,606 回","134,000 円",100 株,"4,031億円",695.4,197.1,0.28
1812,鹿島,東証１,15:00,8.0倍,0.81倍,3.99％,"1,258","1,264","1,239","1,253","1,022,400 株","1,277 百万円","1,248.693 円","1,592 回","125,300 円",100 株,"6,624億円",453.8,706.4,1.56
1925,大和ハウス工業,東証１,15:00,15.9倍,0.96倍,3.56％,"2,568.0","2,570.0","2,511.0","2,530.5","1,783,800 株","4,519 百万円","2,533.486 円","5,110 回","253,050 円",100 株,"1兆6,859億円",479.0,914.5,1.91
1928,積水ハウス,東証１,15:00,10.2倍,1.13倍,4.20％,"2,073.0","2,075.0","2,039.5","2,049.5","1,251,000 株","2,566 百万円","2,051.336 円","3,095 回","204,950 円",100 株,"1兆4,033億円",448.7,275.8,0.61
1963,日揮ホールディングス,東証１,15:00,35.0倍,0.72倍,1.08％,"1,134","1,137","1,093","1,108","1,006,100 株","1,118 百万円","1,111.617 円","1,723 回","110,800 円",100 株,"2,871億円",284.3,949.4,3.34
5631,日本製鋼所,東証１,15:00,－倍,0.85倍,－％,"1,514","1,525","1,495","1,512","219,200 株",331 百万円,"1,508.131 円",909 回,"151,200 円",100 株,"1,124億円",209.5,188.8,0.90
6103,オークマ,東証１,15:00,－倍,0.86倍,－％,"4,515","4,565","4,430","4,490","179,500 株",805 百万円,"4,486.025 円",753 回,"449,000 円",100 株,"1,516億円",98.3,116.4,1.18
6113,アマダ,東証１,15:00,99.7倍,0.69倍,3.49％,864,867,852,860,"1,005,800 株",864 百万円,859.144 円,"1,279 回","86,000 円",100 株,"3,088億円",521.2,508.8,0.98
6301,コマツ,東証１,15:00,－倍,1.16倍,－％,"2,199.5","2,203.0","2,158.5","2,184.5","1,504,500 株","3,278 百万円","2,178.693 円","2,966 回","218,450 円",100 株,"2兆1,246億円","1,164.0","1,272.8",1.09
6302,住友重機械工業,東証１,15:00,－倍,0.60倍,－％,"2,321","2,326","2,231","2,261","451,800 株","1,023 百万円","2,263.206 円","1,860 回","226,100 円",100 株,"2,779億円",154.3,157.3,1.02
6305,日立建機,東証１,15:00,31.5倍,1.33倍,－％,"2,962","2,973","2,932","2,959","502,800 株","1,485 百万円","2,953.038 円","1,545 回","295,900 円",100 株,"6,365億円",455.6,581.8,1.28
6326,クボタ,東証１,15:00,－倍,1.34倍,－％,"1,579.0","1,586.5","1,522.5","1,539.0","4,344,000 株","6,708 百万円","1,544.171 円","7,415 回","153,900 円",100 株,"1兆8,785億円","1,792.9",446.7,0.25
6361,荏原,東証１,15:00,－倍,0.86倍,2.40％,"2,517","2,536","2,469","2,501","212,900 株",531 百万円,"2,492.719 円",976 回,"250,100 円",100 株,"2,385億円",78.0,124.7,1.60
6367,ダイキン工業,東証１,15:00,51.8倍,3.61倍,－％,"17,690","17,715","17,535","17,710","564,500 株","9,960 百万円","17,644.197 円","1,988 回","1,771,000 円",100 株,"5兆1,910億円",229.6,124.4,0.54
6471,日本精工,東証１,15:00,－倍,0.80倍,－％,791,798,780,788,"1,598,700 株","1,258 百万円",786.762 円,"1,783 回","78,800 円",100 株,"4,344億円",446.2,948.1,2.12
6472,ＮＴＮ,東証１,15:00,－倍,0.71倍,－％,212,214,206,209,"3,420,300 株",714 百万円,208.829 円,"1,388 回","20,900 円",100 株,"1,113億円","2,350.4","4,669.4",1.99
6473,ジェイテクト,東証１,15:00,－倍,0.58倍,－％,842,842,813,822,"799,900 株",659 百万円,823.692 円,"1,248 回","82,200 円",100 株,"2,822億円",249.1,654.5,2.63
7004,日立造船,東証１,15:00,16.0倍,0.54倍,3.17％,382,387,375,379,"458,400 株",174 百万円,380.112 円,589 回,"37,900 円",100 株,645億円,"1,574.3",881.4,0.56
7011,三菱重工業,東証１,15:00,－倍,0.69倍,2.99％,"2,560.0","2,560.0","2,487.0","2,512.5","1,165,500 株","2,931 百万円","2,514.795 円","3,656 回","251,250 円",100 株,"8,476億円",736.6,"1,613.3",2.19
7013,ＩＨＩ,東証１,15:00,－倍,0.69倍,－％,"1,555","1,581","1,510","1,522","1,926,300 株","2,953 百万円","1,532.817 円","3,709 回","152,200 円",100 株,"2,354億円",363.4,"2,442.2",6.72
7003,三井Ｅ＆Ｓ,東証１,15:00,－倍,0.51倍,－％,411,417,399,406,"659,900 株",267 百万円,405.346 円,"1,200 回","40,600 円",100 株,337億円,369.1,"1,385.5",3.75
7012,川崎重工業,東証１,15:00,－倍,0.56倍,－％,"1,548","1,566","1,505","1,527","1,140,900 株","1,742 百万円","1,527.096 円","2,673 回","152,700 円",100 株,"2,551億円",477.4,"1,039.7",2.18
7832,バンナムＨＤ,東証１,15:00,－倍,2.80倍,0.73％,"5,760","5,773","5,695","5,734","703,900 株","4,035 百万円","5,732.884 円","2,826 回","573,400 円",100 株,"1兆2,729億円",172.4,126.1,0.73
7911,凸版印刷,東証１,15:00,－倍,0.50倍,－％,"1,729","1,739","1,680","1,697","681,300 株","1,157 百万円","1,698.594 円","1,944 回","169,700 円",100 株,"5,935億円",110.5,199.5,1.81
7912,大日本印刷,東証１,15:00,－倍,0.74倍,－％,"2,433","2,456","2,380","2,401","402,700 株",969 百万円,"2,405.978 円","1,429 回","240,100 円",100 株,"7,785億円",54.1,211.6,3.91
7951,ヤマハ,東証１,15:00,－倍,2.71倍,－％,"5,020","5,080","4,940","5,020","394,600 株","1,972 百万円","4,997.428 円","1,151 回","502,000 円",100 株,"9,616億円",92.2,49.2,0.53
3289,東急不ＨＤ,東証１,15:00,13.1倍,0.58倍,3.38％,485,491,465,473,"5,281,200 株","2,497 百万円",472.859 円,"2,803 回","47,300 円",100 株,"3,405億円",789.1,"1,639.3",2.08
8801,三井不動産,東証１,15:00,15.1倍,0.75倍,2.35％,"1,892.0","1,904.5","1,849.5","1,874.0","2,287,200 株","4,273 百万円","1,868.358 円","4,661 回","187,400 円",100 株,"1兆8,351億円",266.2,"1,666.9",6.26
8802,三菱地所,東証１,15:00,19.2倍,1.22倍,1.59％,"1,584.5","1,592.5","1,555.0","1,576.5","2,967,100 株","4,665 百万円","1,572.301 円","4,346 回","157,650 円",100 株,"2兆1,934億円",941.4,"1,153.4",1.23
8804,東京建物,東証１,15:00,8.1倍,0.70倍,3.77％,"1,224","1,229","1,184","1,194","655,200 株",785 百万円,"1,197.373 円","1,593 回","119,400 円",100 株,"2,497億円",338.1,199.3,0.59
8830,住友不動産,東証１,15:00,10.4倍,1.05倍,1.33％,"2,922.0","2,926.5","2,830.5","2,864.5","654,000 株","1,874 百万円","2,865.111 円","2,455 回","286,450 円",100 株,"1兆3,637億円",335.3,412.9,1.23
9001,東武鉄道,東証１,15:00,－倍,1.58倍,－％,"3,570","3,575","3,495","3,530","277,300 株",979 百万円,"3,528.851 円",734 回,"353,000 円",100 株,"7,406億円",378.6,17.8,0.05
9005,東急,東証１,15:00,－倍,1.19倍,1.54％,"1,513","1,523","1,478","1,492","1,275,300 株","1,903 百万円","1,492.254 円","2,216 回","149,200 円",100 株,"9,323億円",121.7,817.1,6.71
9007,小田急電鉄,東証１,15:00,－倍,2.45倍,－％,"2,648","2,648","2,598","2,614","513,400 株","1,344 百万円","2,617.195 円","1,474 回","261,400 円",100 株,"9,633億円",717.8,32.8,0.05
9008,京王電鉄,東証１,15:00,－倍,1.98倍,－％,"6,140","6,150","6,030","6,060","135,700 株",825 百万円,"6,077.038 円",368 回,"606,000 円",100 株,"7,790億円",137.4,11.4,0.08
9009,京成電鉄,東証１,15:00,－倍,1.34倍,－％,"3,310","3,310","3,235","3,265","342,800 株","1,120 百万円","3,267.332 円","1,159 回","326,500 円",100 株,"5,629億円",176.8,45.1,0.26
9020,ＪＲ東日本,東証１,15:00,－倍,0.89倍,－％,"7,457","7,477","7,324","7,386","844,700 株","6,235 百万円","7,381.176 円","3,217 回","738,600 円",100 株,"2兆7,914億円",275.9,807.4,2.93
9021,ＪＲ西日本,東証１,15:00,－倍,1.01倍,－％,"6,050","6,060","5,891","5,917","592,900 株","3,520 百万円","5,937.659 円","2,713 回","591,700 円",100 株,"1兆1,321億円",143.6,690.7,4.81
9022,ＪＲ東海,東証１,15:00,－倍,0.84倍,－％,"16,555","16,575","16,195","16,320","234,700 株","3,835 百万円","16,338.96 円","1,154 回","1,632,000 円",100 株,"3兆3,619億円",244.2,332.9,1.36
9062,日本通運,東証１,15:00,－倍,0.94倍,－％,"5,470","5,490","5,390","5,450","164,100 株",892 百万円,"5,435.046 円",503 回,"545,000 円",100 株,"5,232億円",70.3,40.7,0.58
9064,ヤマトホールディングス,東証１,15:00,－倍,1.73倍,－％,"2,472","2,546","2,464","2,536","3,739,500 株","9,406 百万円","2,515.426 円","6,834 回","253,600 円",100 株,1兆432億円,"1,346.8",750.6,0.56
9101,日本郵船,東証１,15:00,－倍,0.54倍,1.34％,"1,490","1,504","1,473","1,492","820,300 株","1,218 百万円","1,485.416 円","1,892 回","149,200 円",100 株,"2,537億円","1,305.9",898.6,0.69
9104,商船三井,東証１,15:00,－倍,0.44倍,－％,"1,902","1,925","1,875","1,895","823,000 株","1,558 百万円","1,892.871 円","2,152 回","189,500 円",100 株,"2,286億円",751.7,"1,360.6",1.81
9107,川崎汽船,東証１,15:00,－倍,0.97倍,－％,"1,043","1,064","1,034","1,046","911,000 株",952 百万円,"1,044.841 円","1,478 回","104,600 円",100 株,983億円,"1,433.9","2,614.9",1.82
9202,ＡＮＡホールディングス,東証１,15:00,－倍,0.77倍,－％,"2,464.0","2,477.0","2,409.5","2,448.0","2,737,600 株","6,674 百万円","2,438.055 円","8,314 回","244,800 円",100 株,"8,531億円","3,246.4","3,044.6",0.94
9301,三菱倉庫,東証１,15:00,18.9倍,0.84倍,2.17％,"2,780","2,780","2,757","2,767","139,700 株",386 百万円,"2,764.956 円",601 回,"276,700 円",100 株,"2,434億円",90.7,43.7,0.48
9501,東電ＨＤ,東証１,15:00,－倍,0.17倍,－％,326,329,315,316,"7,982,100 株","2,552 百万円",319.701 円,"2,898 回","31,600 円",100 株,"5,078億円",835.0,"24,448.0",29.28
9502,中部電力,東証１,15:00,－倍,0.53倍,3.75％,"1,343.0","1,348.5","1,323.5","1,332.0","1,159,900 株","1,544 百万円","1,331.538 円","2,335 回","133,200 円",100 株,1兆97億円,267.0,"1,019.2",3.82
9503,関西電力,東証１,15:00,－倍,0.59倍,－％,"1,069.5","1,069.5","1,048.5","1,055.5","2,133,200 株","2,255 百万円","1,057 円","2,621 回","105,550 円",100 株,"9,908億円",330.3,"1,757.7",5.32
9531,東京ガス,東証１,15:00,－倍,0.99倍,2.32％,"2,543.0","2,591.5","2,533.0","2,589.0","1,013,500 株","2,608 百万円","2,572.996 円","2,864 回","258,900 円",100 株,"1兆1,455億円",102.2,104.5,1.02
9532,大阪ガス,東証１,15:00,12.2倍,0.89倍,2.34％,"2,093","2,140","2,086","2,138","766,700 株","1,629 百万円","2,124.966 円","1,625 回","213,800 円",100 株,"8,909億円",273.7,30.7,0.11
